claim_id,image_path,claim_type_text,image_damage_type,is_mismatch,description
CLM-007058,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_007058.png,screen_damage,screen_damage,False,"Device showing signs of damage, requesting repair coverage"
CLM-005725,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_005725.png,battery_issue,battery_issue,False,"Battery not holding charge, shuts down at 40% randomly"
CLM-002888,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_002888.png,accidental_damage,accidental_damage,False,"Device fell from pocket while running, multiple scratches and broken glass"
CLM-003847,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_003847.png,battery_issue,battery_issue,False,"Charging takes over 8 hours for full charge, battery degraded"
CLM-001173,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_001173.png,screen_damage,mechanical_failure,True,Touch screen unresponsive in bottom half after impact
CLM-001935,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_001935.png,battery_issue,accidental_damage,True,"Battery not holding charge, shuts down at 40% randomly"
CLM-005147,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_005147.png,mechanical_failure,mechanical_failure,False,"Camera module not functioning, shows black screen"
CLM-003768,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_003768.png,water_damage,water_damage,False,"Water leaked into bag during storm, device screen has water marks"
CLM-006025,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_006025.png,mechanical_failure,mechanical_failure,False,"Device stopped turning on suddenly, no response to charging"
CLM-006812,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_006812.png,screen_damage,accidental_damage,True,Touch screen unresponsive in bottom half after impact
CLM-006691,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_006691.png,battery_issue,battery_issue,False,"Device randomly shuts down, battery health shows 52%"
CLM-002111,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_002111.png,water_damage,water_damage,False,"Water leaked into bag during storm, device screen has water marks"
CLM-006330,/Users/brajkishoreyadav/Downloads/AiMl/ClaimGraph-AI/data/synthetic_images/claim_CLM_006330.png,accidental_damage,battery_issue,True,"Device slipped from hand in parking lot, back panel cracked"
